#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	0	0.00000	0	0.00000
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	0	0.00000	0	0.00000
6	0	0.00000	0	0.00000
7	0	0.00000	0	0.00000
8	0	0.00000	0	0.00000
9	0	0.00000	0	0.00000
10	0	0.00000	0	0.00000
11	0	0.00000	0	0.00000
12	0	0.00000	8	0.00000
13	8	0.00000	949	0.00001
14	92	0.00000	314665	0.00275
15	80363	0.00070	1692984	0.01481
16	282372	0.00247	2154031	0.01884
17	593993	0.00520	2451958	0.02145
18	1020374	0.00893	2659105	0.02326
19	1446206	0.01265	2806415	0.02455
20	1798013	0.01573	2917507	0.02552
21	2028457	0.01774	2953915	0.02584
22	2193134	0.01919	2950175	0.02581
23	2403185	0.02102	2968672	0.02597
24	2076269	0.01816	2717869	0.02378
25	2074584	0.01815	2640331	0.02310
26	1990902	0.01742	2652500	0.02320
27	1987706	0.01739	2505141	0.02191
28	2142575	0.01874	2805877	0.02455
29	2112796	0.01848	3248898	0.02842
30	1751763	0.01532	2187771	0.01914
31	1838413	0.01608	1684148	0.01473
32	3564544	0.03118	4668368	0.04084
33	1814979	0.01588	2925327	0.02559
34	490911	0.00429	406854	0.00356
35	1023100	0.00895	984119	0.00861
36	1794329	0.01570	1943066	0.01700
37	2867545	0.02508	3422251	0.02994
38	4555295	0.03985	5868024	0.05133
39	6901150	0.06037	8984837	0.07860
40	63480094	0.55532	40797389	0.35689
41	2	0.00000	0	0.00000
