#Mean	62.420
#Median	64.333
#Mode	66.333
#STDev	9.359
#GC	Count
0.0	69
0.3	28
0.7	0
1.0	45
1.3	22
1.7	0
2.0	40
2.3	12
2.7	0
3.0	22
3.3	42
3.7	0
4.0	40
4.3	36
4.7	0
5.0	27
5.3	33
5.7	33
6.0	29
6.3	45
6.7	47
7.0	51
7.3	52
7.7	80
8.0	80
8.3	80
8.7	103
9.0	101
9.3	147
9.7	121
10.0	144
10.3	146
10.7	192
11.0	214
11.3	254
11.7	284
12.0	273
12.3	351
12.7	364
13.0	470
13.3	499
13.7	513
14.0	594
14.3	718
14.7	751
15.0	896
15.3	965
15.7	1056
16.0	1194
16.3	1410
16.7	1537
17.0	1740
17.3	1930
17.7	2040
18.0	2403
18.3	2703
18.7	2973
19.0	3244
19.3	3697
19.7	4111
20.0	4620
20.3	5223
20.7	5807
21.0	6486
21.3	7344
21.7	8009
22.0	9287
22.3	10126
22.7	11257
23.0	12469
23.3	13998
23.7	15291
24.0	16711
24.3	18428
24.7	20930
25.0	22473
25.3	24740
25.7	26340
26.0	28602
26.3	31098
26.7	33297
27.0	35800
27.3	38641
27.7	41067
28.0	44148
28.3	47076
28.7	49600
29.0	52819
29.3	55580
29.7	58733
30.0	61951
30.3	65144
30.7	69179
31.0	72483
31.3	75945
31.7	79386
32.0	82996
32.3	86129
32.7	90281
33.0	94665
33.3	98186
33.7	100637
34.0	107334
34.3	110101
34.7	112839
35.0	117646
35.3	121140
35.7	124698
36.0	129338
36.3	133506
36.7	137655
37.0	141080
37.3	145376
37.7	149269
38.0	153573
38.3	156224
38.7	160741
39.0	164099
39.3	168366
39.7	173540
40.0	176565
40.3	181240
40.7	185423
41.0	189792
41.3	192537
41.7	197663
42.0	202700
42.3	206292
42.7	211223
43.0	215311
43.3	220814
43.7	224106
44.0	228302
44.3	232577
44.7	237712
45.0	241481
45.3	246054
45.7	252208
46.0	255922
46.3	261221
46.7	266997
47.0	272380
47.3	279671
47.7	286160
48.0	293044
48.3	300915
48.7	310069
49.0	319305
49.3	329507
49.7	339627
50.0	352270
50.3	363661
50.7	377361
51.0	393190
51.3	406664
51.7	424060
52.0	441079
52.3	463275
52.7	481356
53.0	502400
53.3	528912
53.7	549563
54.0	575479
54.3	602417
54.7	629462
55.0	660006
55.3	690734
55.7	722256
56.0	753873
56.3	788166
56.7	824745
57.0	861843
57.3	900036
57.7	942168
58.0	985461
58.3	1030802
58.7	1080034
59.0	1132330
59.3	1186764
59.7	1243205
60.0	1303953
60.3	1371983
60.7	1437414
61.0	1506779
61.3	1581711
61.7	1656043
62.0	1730595
62.3	1807040
62.7	1878520
63.0	1952673
63.3	2022540
63.7	2083074
64.0	2144992
64.3	2195492
64.7	2241082
65.0	2279830
65.3	2305491
65.7	2329297
66.0	2335553
66.3	2341350
66.7	2328266
67.0	2313128
67.3	2284221
67.7	2237120
68.0	2210130
68.3	2174888
68.7	2093845
69.0	2043969
69.3	1980869
69.7	1907097
70.0	1839238
70.3	1758193
70.7	1676787
71.0	1591931
71.3	1507873
71.7	1419848
72.0	1331892
72.3	1241591
72.7	1154347
73.0	1064733
73.3	976810
73.7	887814
74.0	807604
74.3	722536
74.7	644442
75.0	563707
75.3	492455
75.7	421167
76.0	356858
76.3	295428
76.7	239737
77.0	190027
77.3	147749
77.7	110250
78.0	79377
78.3	56079
78.7	38043
79.0	24941
79.3	16300
79.7	10164
80.0	6580
80.3	4395
80.7	3207
81.0	2422
81.3	2095
81.7	1639
82.0	1578
82.3	1413
82.7	1341
83.0	1204
83.3	1182
83.7	1079
84.0	1072
84.3	1005
84.7	905
85.0	807
85.3	754
85.7	737
86.0	580
86.3	554
86.7	446
87.0	405
87.3	341
87.7	266
88.0	200
88.3	165
88.7	111
89.0	95
89.3	73
89.7	51
90.0	47
90.3	28
90.7	21
91.0	21
91.3	14
91.7	17
92.0	10
92.3	14
92.7	16
93.0	15
93.3	10
93.7	8
94.0	12
94.3	8
94.7	14
95.0	12
95.3	9
95.7	14
96.0	13
96.3	21
96.7	14
97.0	15
97.3	18
97.7	26
98.0	40
98.3	29
98.7	26
99.0	37
99.3	34
99.7	57
100.0	18
