#Length	Count
50	1552
51	1400
52	1378
53	1398
54	1270
55	1334
56	1250
57	1326
58	1188
59	1246
60	1110
61	1094
62	1176
63	984
64	1082
65	1040
66	1074
67	1048
68	1020
69	942
70	938
71	856
72	842
73	838
74	808
75	902
76	804
77	830
78	764
79	720
80	792
81	706
82	656
83	656
84	644
85	592
86	634
87	660
88	626
89	576
90	604
91	614
92	552
93	536
94	626
95	552
96	540
97	508
98	514
99	506
100	512
101	472
102	458
103	426
104	456
105	442
106	426
107	450
108	408
109	474
110	388
111	402
112	416
113	400
114	382
115	394
116	390
117	424
118	392
119	384
120	406
121	436
122	390
123	392
124	374
125	432
126	464
127	438
128	220
129	248
130	290
131	358
132	550
133	1252
134	2256
135	4538
136	5983
137	29982
138	89921
139	282253
140	264
141	58529
142	58826
143	58800
144	57934
145	58462
146	57062
147	55454
148	56372
149	57945
150	227632673
