#BaseNum	Read1_linear	Read1_log	Read2_linear	Read2_log
1	31.382	21.925	30.953	19.869
2	31.581	28.013	31.230	25.799
3	35.491	29.050	34.896	26.515
4	36.085	29.767	35.536	26.117
5	36.276	30.320	35.762	27.025
6	39.734	31.580	39.028	27.497
7	39.853	31.879	39.137	27.503
8	39.917	32.114	39.212	27.651
9	39.940	32.185	39.280	27.805
10	39.946	32.164	39.255	27.706
11	39.950	32.043	39.257	27.746
12	39.952	32.179	39.269	27.778
13	39.945	32.117	39.227	27.674
14	39.945	32.133	39.194	27.585
15	39.944	32.120	39.175	27.597
16	39.933	32.034	39.170	27.578
17	39.931	32.029	39.145	27.524
18	39.929	31.983	39.123	27.479
19	39.927	31.987	39.110	27.474
20	39.908	31.910	38.947	26.867
21	39.892	31.860	38.852	26.766
22	39.882	31.818	38.932	27.234
23	39.849	31.711	38.897	27.037
24	39.837	31.681	38.927	27.147
25	39.817	31.548	38.918	27.132
26	39.757	30.636	38.927	27.143
27	39.740	30.611	38.890	26.998
28	39.725	30.469	38.898	27.105
29	39.711	30.474	38.898	27.081
30	39.695	30.413	38.903	27.111
31	39.665	30.258	38.884	27.066
32	39.641	30.205	38.868	27.020
33	39.640	30.242	38.863	27.014
34	39.633	30.204	38.832	26.936
35	39.624	30.168	38.807	26.832
36	39.616	30.144	38.803	26.878
37	39.617	30.126	38.785	26.788
38	39.601	30.065	38.751	26.696
39	39.596	30.043	38.748	26.767
40	39.577	29.953	38.735	26.727
41	39.577	29.957	38.728	26.694
42	39.561	29.883	38.703	26.647
43	39.558	29.869	38.690	26.618
44	39.506	29.592	38.680	26.589
45	39.529	29.800	38.654	26.541
46	39.521	29.620	38.636	26.501
47	39.514	29.712	38.613	26.453
48	39.522	29.715	38.587	26.397
49	39.510	29.671	38.577	26.390
50	39.504	29.635	38.557	26.343
51	39.498	29.603	38.537	26.310
52	39.492	29.572	38.519	26.304
53	39.486	29.554	38.457	26.157
54	39.468	29.475	38.457	26.235
55	39.458	29.443	38.447	26.208
56	39.449	29.404	38.436	26.186
57	39.441	29.373	38.397	26.110
58	39.437	29.347	38.393	26.115
59	39.435	29.348	38.374	26.069
60	39.416	29.281	38.355	26.039
61	39.407	29.244	38.327	25.995
62	39.396	29.215	38.321	25.984
63	39.378	29.140	38.287	25.903
64	39.355	29.054	38.257	25.866
65	39.348	29.029	38.250	25.870
66	39.325	28.923	38.244	25.859
67	39.307	28.865	38.237	25.869
68	39.284	28.849	38.238	25.870
69	39.263	28.778	38.216	25.823
70	39.234	28.712	38.188	25.756
71	39.206	28.641	38.190	25.786
72	39.199	28.627	38.171	25.750
73	39.189	28.576	38.145	25.665
74	39.190	28.611	38.139	25.695
75	39.199	28.636	38.124	25.657
76	39.189	28.604	38.091	25.607
77	37.856	28.074	36.304	25.155
78	38.748	28.523	37.475	25.503
79	39.101	28.887	37.948	25.782
80	39.252	29.094	38.141	25.884
81	39.322	29.203	38.235	25.974
82	39.350	29.224	38.281	25.969
83	39.352	29.204	38.286	25.990
84	39.350	29.176	38.277	25.964
85	39.360	29.214	38.273	25.953
86	39.347	29.152	38.280	25.947
87	39.331	29.086	38.258	25.920
88	39.318	29.039	38.246	25.899
89	39.309	29.008	38.198	25.715
90	39.302	28.980	38.187	25.812
91	39.291	28.944	38.055	25.502
92	39.270	28.873	38.103	25.738
93	39.270	28.880	38.124	25.735
94	39.250	28.798	38.147	25.756
95	39.245	28.792	38.127	25.705
96	39.229	28.727	38.107	25.677
97	39.224	28.714	38.056	25.551
98	39.210	28.672	38.039	25.574
99	39.194	28.612	38.030	25.569
100	39.181	28.564	38.035	25.574
101	39.166	28.523	38.037	25.569
102	39.164	28.465	38.010	25.522
103	39.148	28.457	38.011	25.542
104	39.134	28.415	37.984	25.502
105	39.124	28.387	37.928	25.399
106	39.100	28.298	37.907	25.410
107	39.073	28.226	37.901	25.428
108	39.053	28.103	37.869	25.405
109	39.022	28.042	37.836	25.394
110	39.024	28.089	37.810	25.364
111	39.013	28.041	37.768	25.306
112	38.986	27.971	37.722	25.246
113	38.975	27.946	37.717	25.296
114	38.940	27.815	37.670	25.218
115	38.941	27.867	37.632	25.186
116	38.922	27.808	37.606	25.149
117	38.913	27.784	37.576	25.107
118	38.895	27.735	37.508	24.954
119	38.863	27.645	37.471	24.849
120	38.754	27.263	37.248	24.332
121	38.776	27.530	37.289	24.457
122	38.784	27.493	37.273	24.313
123	38.782	27.454	37.231	24.178
124	38.769	27.414	37.212	24.035
125	38.761	27.395	37.162	23.782
126	38.727	27.313	37.115	23.545
127	38.717	27.304	37.075	23.306
128	38.666	27.207	36.897	22.699
129	38.647	27.202	36.834	22.440
130	38.599	27.112	36.779	22.161
131	38.552	27.043	36.707	21.927
132	38.513	27.005	36.635	21.684
133	38.484	26.965	36.588	21.502
134	38.453	26.913	36.496	21.330
135	38.424	26.865	36.436	21.263
136	38.389	26.792	36.363	21.167
137	38.360	26.733	36.151	20.954
138	38.317	26.643	36.105	20.955
139	38.287	26.618	36.061	20.948
140	38.212	26.395	36.032	20.919
141	38.190	26.393	35.982	20.876
142	38.174	26.295	35.879	20.779
143	38.123	26.026	35.849	20.762
144	38.080	25.889	35.717	20.641
145	38.026	25.652	35.617	20.561
146	37.968	25.428	35.528	20.499
147	37.901	25.252	35.451	20.430
148	37.843	25.039	35.268	20.270
149	37.834	24.802	35.085	20.162
150	37.795	24.621	34.940	20.044
