#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	0	0.00000	0	0.00000
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	0	0.00000	0	0.00000
6	0	0.00000	0	0.00000
7	0	0.00000	0	0.00000
8	0	0.00000	0	0.00000
9	0	0.00000	0	0.00000
10	0	0.00000	71	0.00000
11	100	0.00000	1923	0.00002
12	1738	0.00002	6088	0.00005
13	2693	0.00002	9236	0.00008
14	1356	0.00001	322749	0.00282
15	85330	0.00075	1710876	0.01494
16	289674	0.00253	2171443	0.01896
17	602234	0.00526	2466434	0.02154
18	1028550	0.00898	2671778	0.02333
19	1453852	0.01270	2819106	0.02462
20	1806107	0.01577	2932380	0.02561
21	2036085	0.01778	2969698	0.02593
22	2200927	0.01922	2962046	0.02586
23	2410265	0.02105	2977448	0.02600
24	2082738	0.01819	2723716	0.02378
25	2081286	0.01817	2644510	0.02309
26	1996684	0.01744	2656116	0.02319
27	1993586	0.01741	2507976	0.02190
28	2149089	0.01877	2809782	0.02454
29	2116963	0.01849	3251209	0.02839
30	1757528	0.01535	2191259	0.01913
31	1841124	0.01608	1683215	0.01470
32	3573210	0.03120	4670436	0.04078
33	1821180	0.01590	2933179	0.02561
34	491307	0.00429	406872	0.00355
35	1024382	0.00895	984409	0.00860
36	1797314	0.01569	1944374	0.01698
37	2872494	0.02508	3425022	0.02991
38	4563471	0.03985	5873076	0.05128
39	6911777	0.06035	8992030	0.07852
40	63526897	0.55472	40801486	0.35628
41	2	0.00000	0	0.00000
