#Mean	62.414
#Median	64.333
#Mode	66.000
#STDev	9.357
#GC	Count
0.0	69
0.3	28
0.7	0
1.0	45
1.3	22
1.7	0
2.0	40
2.3	12
2.7	0
3.0	22
3.3	42
3.7	0
4.0	40
4.3	36
4.7	0
5.0	28
5.3	33
5.7	33
6.0	31
6.3	45
6.7	50
7.0	53
7.3	54
7.7	81
8.0	80
8.3	82
8.7	105
9.0	102
9.3	148
9.7	122
10.0	145
10.3	149
10.7	191
11.0	215
11.3	259
11.7	281
12.0	274
12.3	353
12.7	365
13.0	469
13.3	500
13.7	512
14.0	590
14.3	720
14.7	755
15.0	893
15.3	964
15.7	1052
16.0	1194
16.3	1404
16.7	1550
17.0	1733
17.3	1935
17.7	2039
18.0	2423
18.3	2686
18.7	2983
19.0	3232
19.3	3704
19.7	4103
20.0	4636
20.3	5190
20.7	5829
21.0	6438
21.3	7383
21.7	7952
22.0	9340
22.3	10111
22.7	11300
23.0	12441
23.3	14053
23.7	15251
24.0	16798
24.3	18408
24.7	20995
25.0	22421
25.3	24809
25.7	26293
26.0	28725
26.3	31075
26.7	33432
27.0	35752
27.3	38801
27.7	41012
28.0	44321
28.3	46972
28.7	49755
29.0	52724
29.3	55769
29.7	58676
30.0	62209
30.3	65100
30.7	69458
31.0	72489
31.3	76197
31.7	79350
32.0	83249
32.3	86136
32.7	90509
33.0	94673
33.3	98548
33.7	100687
34.0	107735
34.3	109988
34.7	113355
35.0	117541
35.3	121586
35.7	124646
36.0	129879
36.3	133496
36.7	138089
37.0	141147
37.3	145932
37.7	149203
38.0	154124
38.3	156271
38.7	161357
39.0	164024
39.3	169193
39.7	173490
40.0	177354
40.3	181297
40.7	186150
41.0	189851
41.3	193255
41.7	197643
42.0	203434
42.3	206399
42.7	212000
43.0	215409
43.3	221539
43.7	224430
44.0	229236
44.3	232684
44.7	238611
45.0	241668
45.3	246870
45.7	252280
46.0	257082
46.3	261424
46.7	267959
47.0	272448
47.3	280927
47.7	286204
48.0	294519
48.3	300951
48.7	311487
49.0	319395
49.3	330839
49.7	339685
50.0	353765
50.3	363760
50.7	378975
51.0	393296
51.3	408529
51.7	424096
52.0	443232
52.3	463918
52.7	483522
53.0	502762
53.3	531313
53.7	550050
54.0	578188
54.3	602817
54.7	632327
55.0	660574
55.3	693661
55.7	723143
56.0	757423
56.3	788944
56.7	829565
57.0	862482
57.3	904673
57.7	943259
58.0	989838
58.3	1032132
58.7	1085273
59.0	1133245
59.3	1192966
59.7	1244833
60.0	1311703
60.3	1372360
60.7	1445377
61.0	1508791
61.3	1589933
61.7	1656417
62.0	1739424
62.3	1808091
62.7	1886719
63.0	1953654
63.3	2031197
63.7	2084529
64.0	2153594
64.3	2196667
64.7	2249802
65.0	2279393
65.3	2318177
65.7	2327814
66.0	2344602
66.3	2339535
66.7	2337311
67.0	2311056
67.3	2292344
67.7	2237455
68.0	2215998
68.3	2173885
68.7	2099805
69.0	2042638
69.3	1985465
69.7	1908419
70.0	1843924
70.3	1755916
70.7	1681015
71.0	1590061
71.3	1510523
71.7	1417919
72.0	1334539
72.3	1239756
72.7	1156609
73.0	1062357
73.3	978827
73.7	886627
74.0	808594
74.3	722329
74.7	644803
75.0	562176
75.3	492832
75.7	419884
76.0	357327
76.3	294283
76.7	240147
77.0	189131
77.3	147776
77.7	109517
78.0	79495
78.3	55487
78.7	38016
79.0	24349
79.3	16396
79.7	9673
80.0	6568
80.3	4173
80.7	3112
81.0	2260
81.3	1981
81.7	1557
82.0	1524
82.3	1370
82.7	1328
83.0	1190
83.3	1167
83.7	1075
84.0	1070
84.3	998
84.7	908
85.0	805
85.3	751
85.7	742
86.0	577
86.3	558
86.7	447
87.0	406
87.3	340
87.7	269
88.0	197
88.3	165
88.7	111
89.0	95
89.3	74
89.7	51
90.0	48
90.3	28
90.7	22
91.0	22
91.3	14
91.7	17
92.0	10
92.3	14
92.7	16
93.0	15
93.3	10
93.7	8
94.0	12
94.3	8
94.7	14
95.0	12
95.3	9
95.7	14
96.0	13
96.3	21
96.7	14
97.0	15
97.3	18
97.7	26
98.0	40
98.3	29
98.7	26
99.0	37
99.3	34
99.7	57
100.0	18
