#BaseNum	Read1_linear	Read1_log	Read2_linear	Read2_log
1	31.381	21.913	30.952	19.863
2	31.580	28.008	31.229	25.794
3	35.489	29.009	34.896	26.502
4	36.084	29.760	35.533	26.015
5	36.274	30.300	35.761	27.021
6	39.732	31.556	39.027	27.493
7	39.851	31.870	39.132	27.321
8	39.916	32.071	39.210	27.626
9	39.939	32.175	39.278	27.799
10	39.944	32.154	39.250	27.579
11	39.948	32.002	39.255	27.738
12	39.951	32.169	39.267	27.769
13	39.943	32.059	39.221	27.518
14	39.944	32.123	39.191	27.574
15	39.943	32.110	39.171	27.574
16	39.931	32.023	39.163	27.392
17	39.929	32.019	39.142	27.510
18	39.927	31.962	39.119	27.454
19	39.925	31.975	39.105	27.451
20	39.906	31.899	38.943	26.853
21	39.890	31.836	38.848	26.752
22	39.880	31.806	38.927	27.193
23	39.847	31.668	38.891	26.991
24	39.835	31.667	38.922	27.129
25	39.814	31.449	38.913	27.113
26	39.754	30.582	38.918	26.986
27	39.737	30.569	38.884	26.979
28	39.723	30.454	38.891	27.083
29	39.709	30.460	38.891	27.058
30	39.692	30.385	38.897	27.090
31	39.662	30.197	38.878	27.045
32	39.638	30.165	38.862	27.000
33	39.637	30.207	38.857	26.995
34	39.629	30.155	38.823	26.814
35	39.621	30.146	38.799	26.722
36	39.613	30.117	38.797	26.841
37	39.614	30.092	38.775	26.632
38	39.598	30.032	38.745	26.677
39	39.593	30.024	38.741	26.737
40	39.574	29.937	38.728	26.706
41	39.574	29.942	38.721	26.664
42	39.558	29.847	38.696	26.626
43	39.555	29.854	38.682	26.596
44	39.503	29.577	38.672	26.568
45	39.525	29.759	38.647	26.520
46	39.517	29.597	38.628	26.474
47	39.510	29.695	38.603	26.326
48	39.517	29.643	38.580	26.377
49	39.506	29.654	38.569	26.370
50	39.501	29.598	38.546	26.195
51	39.494	29.581	38.530	26.290
52	39.488	29.555	38.512	26.276
53	39.483	29.537	38.449	26.137
54	39.464	29.460	38.449	26.215
55	39.455	29.424	38.439	26.187
56	39.445	29.389	38.428	26.154
57	39.437	29.354	38.389	26.076
58	39.433	29.328	38.384	26.080
59	39.431	29.329	38.366	26.027
60	39.412	29.262	38.347	26.018
61	39.403	29.228	38.319	25.970
62	39.392	29.177	38.313	25.948
63	39.374	29.118	38.278	25.854
64	39.351	29.037	38.247	25.792
65	39.344	29.012	38.242	25.839
66	39.320	28.893	38.235	25.819
67	39.303	28.843	38.229	25.847
68	39.280	28.832	38.230	25.850
69	39.258	28.758	38.207	25.785
70	39.230	28.689	38.176	25.620
71	39.201	28.625	38.181	25.756
72	39.194	28.610	38.163	25.731
73	39.184	28.554	38.135	25.584
74	39.185	28.580	38.131	25.675
75	39.194	28.595	38.116	25.620
76	39.185	28.587	38.082	25.575
77	37.851	28.044	36.295	25.132
78	38.743	28.500	37.466	25.470
79	39.097	28.870	37.939	25.755
80	39.247	29.070	38.132	25.819
81	39.318	29.186	38.227	25.953
82	39.345	29.199	38.272	25.944
83	39.347	29.094	38.277	25.964
84	39.345	29.147	38.269	25.943
85	39.355	29.194	38.263	25.906
86	39.343	29.134	38.271	25.910
87	39.326	29.061	38.250	25.899
88	39.313	29.021	38.237	25.875
89	39.304	28.989	38.189	25.677
90	39.296	28.879	38.178	25.791
91	39.286	28.912	38.046	25.452
92	39.265	28.851	38.094	25.704
93	39.265	28.860	38.115	25.707
94	39.245	28.772	38.138	25.736
95	39.241	28.773	38.118	25.667
96	39.224	28.699	38.099	25.656
97	39.218	28.695	38.047	25.522
98	39.205	28.643	38.029	25.522
99	39.189	28.592	38.021	25.550
100	39.176	28.544	38.026	25.549
101	39.161	28.490	38.027	25.503
102	39.157	28.369	38.001	25.497
103	39.143	28.438	38.002	25.523
104	39.128	28.368	37.975	25.471
105	39.118	28.364	37.918	25.360
106	39.094	28.278	37.898	25.391
107	39.067	28.141	37.892	25.408
108	39.047	28.052	37.860	25.374
109	39.016	27.997	37.826	25.342
110	39.018	28.070	37.801	25.326
111	39.006	27.963	37.758	25.266
112	38.980	27.953	37.712	25.211
113	38.969	27.927	37.708	25.269
114	38.934	27.730	37.660	25.198
115	38.936	27.848	37.623	25.167
116	38.916	27.789	37.596	25.115
117	38.907	27.766	37.567	25.088
118	38.888	27.652	37.498	24.935
119	38.857	27.626	37.461	24.831
120	38.748	27.245	37.238	24.305
121	38.769	27.499	37.279	24.431
122	38.778	27.475	37.262	24.274
123	38.775	27.433	37.221	24.151
124	38.762	27.348	37.202	24.018
125	38.755	27.377	37.151	23.764
126	38.721	27.295	37.105	23.529
127	38.711	27.286	37.064	23.289
128	38.660	27.188	36.886	22.682
129	38.640	27.178	36.824	22.425
130	38.591	27.023	36.768	22.145
131	38.545	27.020	36.696	21.911
132	38.506	26.974	36.624	21.666
133	38.478	26.940	36.577	21.482
134	38.446	26.883	36.485	21.315
135	38.418	26.847	36.424	21.241
136	38.382	26.774	36.352	21.151
137	38.353	26.715	36.140	20.937
138	38.308	26.537	36.093	20.936
139	38.280	26.600	36.049	20.927
140	38.205	26.373	36.020	20.901
141	38.183	26.376	35.971	20.860
142	38.167	26.278	35.868	20.759
143	38.116	26.007	35.839	20.749
144	38.073	25.872	35.707	20.627
145	38.019	25.635	35.608	20.549
146	37.961	25.411	35.520	20.485
147	37.894	25.235	35.443	20.411
148	37.835	25.023	35.261	20.261
149	37.826	24.749	35.079	20.154
150	37.787	24.587	34.935	20.034
